createdAt,mode,objectId,percent,time,updatedAt
2015-09-25T00:46:38.150Z,Unplugged,cbyIImHbLK,0.32,67,2015-09-25T00:46:38.150Z
2015-09-25T03:37:31.618Z,Unplugged,cmrKUQ1VFL,0.14,98.5,2015-09-25T03:37:31.618Z
2015-09-25T06:32:55.576Z,Charging,cokA6fFWSe,0.16,3,2015-09-25T06:32:55.576Z
2015-09-25T08:49:03.942Z,Unplugged,cqEHQZOBJG,0.28,34.5,2015-09-25T08:49:03.942Z
2015-09-25T00:26:36.652Z,Unplugged,crmp1tGBBt,0.54,47,2015-09-25T00:26:36.652Z
2015-09-25T09:42:54.385Z,Charging,cwhf1gvuTW,0.39,75.5,2015-09-25T09:42:54.385Z
2015-09-25T09:03:30.306Z,Unplugged,d0vMTpU7tL,0.23,49,2015-09-25T09:03:30.306Z
2015-09-24T23:56:36.428Z,Unplugged,dMTUJejTnD,0.87,17,2015-09-24T23:56:36.428Z
2015-09-25T07:07:35.212Z,Unplugged,diYvygd3DB,0.36,24,2015-09-25T07:07:35.212Z
2015-09-25T00:14:37.164Z,Unplugged,diuIe8sB3J,0.68,35,2015-09-25T00:14:37.164Z
2015-09-25T00:22:36.253Z,Unplugged,dqxj7fNYD1,0.58,43,2015-09-25T00:22:36.253Z
2015-09-25T09:52:22.923Z,Charging,du4FDeKK0q,0.51,85,2015-09-25T09:52:22.923Z
2015-09-24T23:58:36.552Z,Unplugged,duQpLQsdq1,0.85,19,2015-09-24T23:58:36.552Z
2015-09-25T11:20:03.249Z,Charging,eKxmPvvgHE,0.98,10.5,2015-09-25T11:20:03.249Z
2015-09-25T03:30:31.093Z,Unplugged,eMlnyJ4AXV,0.14,91.5,2015-09-25T03:30:31.093Z
2015-09-25T03:29:31.061Z,Unplugged,ecWZlDEgOa,0.14,90.5,2015-09-25T03:29:31.061Z
2015-09-25T09:50:53.805Z,Charging,ejQwblBCB9,0.49,83.5,2015-09-25T09:50:53.805Z
2015-09-25T07:12:05.307Z,Unplugged,enRWWgc0wZ,0.35,28.5,2015-09-25T07:12:05.307Z
2015-09-25T00:12:37.526Z,Unplugged,fJ1UlxmeGU,0.7,33,2015-09-25T00:12:37.526Z
2015-09-25T01:02:36.502Z,Unplugged,fKbZE6U4ZG,0.23,83,2015-09-25T01:02:36.502Z
2015-09-25T06:33:55.172Z,Charging,fMKq6cqAZ8,0.17,4,2015-09-25T06:33:55.172Z
2015-09-25T08:52:01.093Z,Unplugged,fXLXBa5wru,0.26,37.5,2015-09-25T08:52:01.093Z
2015-09-25T09:43:23.372Z,Charging,fiHahiEKNd,0.39,76,2015-09-25T09:43:23.372Z
2015-09-25T00:28:06.401Z,Unplugged,g6eDowHY1K,0.52,48.5,2015-09-25T00:28:06.401Z
2015-09-25T11:13:05.097Z,Charging,gOxlgVLwjJ,0.97,4.5,2015-09-25T11:13:05.097Z
2015-09-25T11:09:03.370Z,Charging,gPcX7i4Rki,0.96,0.5,2015-09-25T11:09:03.370Z
2015-09-25T07:17:05.017Z,Unplugged,gYfMUcWufa,0.33,33.5,2015-09-25T07:17:05.017Z
2015-09-25T09:46:53.795Z,Charging,gekJ26WCuY,0.44,79.5,2015-09-25T09:46:53.795Z
2015-09-25T07:09:34.837Z,Unplugged,gkjem2JhRN,0.36,26,2015-09-25T07:09:34.837Z
2015-09-25T09:30:53.470Z,Charging,grM5cItlgt,0.25,63.5,2015-09-25T09:30:53.470Z
2015-09-25T09:10:00.849Z,Unplugged,guJjitz45A,0.18,55.5,2015-09-25T09:10:00.849Z
2015-09-25T00:47:36.534Z,Unplugged,hAH7CBOyk3,0.3,68,2015-09-25T00:47:36.534Z
2015-09-25T00:57:36.502Z,Unplugged,hCI9Tl56N8,0.25,78,2015-09-25T00:57:36.502Z
2015-09-25T06:44:25.856Z,Charging,hF3qU3XDtF,0.27,14.5,2015-09-25T06:44:25.856Z
2015-09-25T00:00:07.090Z,Unplugged,hFVsq5BBTr,0.84,20.5,2015-09-25T00:00:07.090Z
2015-09-25T03:25:27.027Z,Unplugged,hNqhHh3H9E,0.23,86,2015-09-25T03:25:27.027Z
2015-09-25T09:42:22.927Z,Charging,hO1bVN05Tj,0.38,75,2015-09-25T09:42:22.927Z
2015-09-24T23:53:07.000Z,Unplugged,hQOvNT2a34,0.91,13.5,2015-09-24T23:53:07.000Z
2015-09-25T07:16:05.792Z,Unplugged,hlynHBcu6e,0.33,32.5,2015-09-25T07:16:05.792Z
2015-09-25T03:27:00.971Z,Unplugged,hmrIVBjoQ1,0.15,88,2015-09-25T03:27:00.971Z
2015-09-24T23:54:09.503Z,Unplugged,hoaTiX5jFw,0.9,14.5,2015-09-24T23:54:09.503Z
2015-09-25T00:38:06.123Z,Unplugged,hxkcGu890a,0.4,58.5,2015-09-25T00:38:06.123Z
2015-09-25T03:28:00.169Z,Unplugged,i9VkU1UAn9,0.14,89,2015-09-25T03:28:00.169Z
2015-09-24T23:43:06.582Z,Unplugged,iFRm7bRKnc,0.97,3.5,2015-09-24T23:43:06.582Z
2015-09-25T00:58:36.534Z,Unplugged,iImCNWoP0Q,0.25,79,2015-09-25T00:58:36.534Z
2015-09-24T23:43:37.111Z,Unplugged,iSB3CTMPsu,0.97,4,2015-09-24T23:43:37.111Z
2015-09-25T00:58:06.948Z,Unplugged,j4Dqi4tzZS,0.25,78.5,2015-09-25T00:58:06.948Z
2015-09-25T00:35:06.575Z,Unplugged,j94zBcJaAc,0.44,55.5,2015-09-25T00:35:06.575Z
2015-09-25T11:16:16.078Z,Charging,jHCpqDtBiQ,0.97,7.5,2015-09-25T11:16:16.078Z
2015-09-25T00:50:36.937Z,Unplugged,jVkoV2qaNh,0.27,71,2015-09-25T00:50:36.937Z
2015-09-25T09:07:01.046Z,Unplugged,jXnYm4ndqn,0.19,52.5,2015-09-25T09:07:01.046Z
2015-09-25T06:41:55.841Z,Charging,jZfsp7odyW,0.24,12,2015-09-25T06:41:55.841Z
2015-09-25T09:47:22.947Z,Charging,jru9Pvu68J,0.45,80,2015-09-25T09:47:22.947Z
2015-09-25T06:41:25.393Z,Charging,js37upUoKf,0.24,11.5,2015-09-25T06:41:25.393Z
2015-09-24T23:55:37.227Z,Unplugged,jsbEQhop1w,0.88,16,2015-09-24T23:55:37.227Z
2015-09-25T12:11:07.872Z,Unplugged,jxuBKdE2Q5,0.95,25,2015-09-25T12:11:07.872Z
2015-09-25T00:48:37.411Z,Unplugged,jxwWt5fFf9,0.29,69,2015-09-25T00:48:37.411Z
2015-09-25T09:46:23.794Z,Charging,k2K4yoapsQ,0.43,79,2015-09-25T09:46:23.794Z
2015-09-25T06:40:55.839Z,Charging,k7Pml5xvC8,0.23,11,2015-09-25T06:40:55.839Z
2015-09-25T03:27:30.006Z,Unplugged,kHEPRlj8rg,0.15,88.5,2015-09-25T03:27:30.006Z
2015-09-25T00:16:07.296Z,Unplugged,kTD9CjA9vp,0.66,36.5,2015-09-25T00:16:07.296Z
2015-09-25T09:04:01.618Z,Unplugged,kUxiv4QSCN,0.23,49.5,2015-09-25T09:04:01.618Z
2015-09-25T12:06:07.873Z,Unplugged,kXyUIvKkO6,0.96,20,2015-09-25T12:06:07.873Z
2015-09-25T09:25:24.309Z,Charging,l4EammksNr,0.18,58,2015-09-25T09:25:24.309Z
2015-09-25T03:32:30.071Z,Unplugged,l9BhrIFLNq,0.14,93.5,2015-09-25T03:32:30.071Z
2015-09-25T00:04:07.434Z,Unplugged,lAOfKG3EeF,0.8,24.5,2015-09-25T00:04:07.434Z
2015-09-25T09:27:23.817Z,Charging,lKjm7SVpZa,0.2,60,2015-09-25T09:27:23.817Z
2015-09-25T03:28:31.109Z,Unplugged,lNXfjwlIkw,0.14,89.5,2015-09-25T03:28:31.109Z
2015-09-24T23:47:06.522Z,Unplugged,lPYUOJFozZ,0.95,7.5,2015-09-24T23:47:06.522Z
2015-09-24T23:50:07.429Z,Unplugged,lZZiI7NUWo,0.93,10.5,2015-09-24T23:50:07.429Z
2015-09-25T09:51:24.957Z,Charging,lfH2KKk3Hn,0.5,84,2015-09-25T09:51:24.957Z
2015-09-25T09:06:31.535Z,Unplugged,llcgI1bUir,0.2,52,2015-09-25T09:06:31.535Z
2015-09-25T06:37:56.331Z,Charging,lxqKmARVNI,0.21,8,2015-09-25T06:37:56.331Z
2015-09-25T11:17:51.398Z,Charging,mFgsIIhuU0,0.97,6.5,2015-09-25T11:17:51.398Z
2015-09-25T12:06:37.873Z,Unplugged,mIobFc3oEZ,0.96,20.5,2015-09-25T12:06:37.873Z
2015-09-25T00:59:36.488Z,Unplugged,mY7PsYWLZQ,0.24,80,2015-09-25T00:59:36.488Z
2015-09-25T08:59:30.593Z,Unplugged,ml0rvYf4w6,0.24,45,2015-09-25T08:59:30.593Z
2015-09-25T09:05:29.994Z,Unplugged,ms2KV1QO8Q,0.21,51,2015-09-25T09:05:29.994Z
2015-09-24T23:46:37.427Z,Unplugged,nBIAwp2gQd,0.95,7,2015-09-24T23:46:37.427Z
2015-09-25T07:08:05.271Z,Unplugged,nBx2c5dg3e,0.36,24.5,2015-09-25T07:08:05.271Z
2015-09-24T23:55:07.179Z,Unplugged,nCi78ElYVm,0.89,15.5,2015-09-24T23:55:07.179Z
